"Gene","uniprot_id","N_seq","Old_OP_S06_Pre","Old_OP_S11_Pre","Old_OP_S12_Pre","Old_OP_S17_Pre","Old_O_S05_Pre","Old_O_S06_Pre","Old_O_S07_Pre","Old_O_S10_Pre","Old_O_S16_Pre","Old_O_S17_Pre","Old_O_S24_Post","Old_O_S24_Pre","Old_O_S28_Pre","Old_O_S29_Pre","Old_O_S32_Pre","Old_O_S35_Pre","Old_OP_S06_Post","Old_OP_S11_Post","Old_OP_S12_Post","Old_OP_S17_Post","Old_O_S05_Post","Old_O_S06_Post","Old_O_S07_Post","Old_O_S10_Post","Old_O_S16_Post","Old_O_S17_Post","Old_O_S28_Post","Old_O_S29_Post","Old_O_S32_Post","Old_O_S35_Post","Young_YP_S14_Pre","Young_YP_S45_Pre","Young_YP_S56_Pre","Young_Y_S01_Pre","Young_Y_S05_Pre","Young_Y_S07_Pre","Young_Y_S10_Pre","Young_Y_S11_Pre","Young_Y_S16_Pre","Young_Y_S28_Pre","Young_Y_S30_Pre","Young_Y_S31_Pre","Young_Y_S32_Pre","Young_Y_S34_Pre","Young_Y_S35_Pre","Young_Y_S36_Pre","Young_Y_S40_Pre","Young_YP_S14_Post","Young_YP_S45_Post","Young_YP_S56_Post","Young_Y_S01_Post","Young_Y_S05_Post","Young_Y_S07_Post","Young_Y_S10_Post","Young_Y_S11_Post","Young_Y_S16_Post","Young_Y_S28_Post","Young_Y_S30_Post","Young_Y_S31_Post","Young_Y_S32_Post","Young_Y_S34_Post","Young_Y_S35_Post","Young_Y_S36_Post","Young_Y_S40_Post","Contaminant"
"ACTB","P60709","27",7128550000,1112490000,1544990000,2803700000,976296000,1396200000,1102150000,5445670000,1895730000,1448790000,1000010000,340987000,4525230000,1408480000,822600000,1914360000,1547300000,3263360000,2445520000,3006120000,1620260000,3086450000,2548170000,1323280000,1004770000,1210040000,4375540000,1296670000,3001030000,1567120000,3873270000,6926850000,1213160000,3230860000,14801600000,2113910000,3189100000,2624850000,3415130000,3381970000,2538040000,4526940000,2.005e+09,2433550000,3748220000,4230100000,2069690000,427044000,3881030000,498978000,2596720000,7549480000,2.959e+09,1727160000,8335250000,3068350000,1812750000,884055000,2530030000,1082240000,4411800000,1966110000,3457430000,1089030000,"-"
"ACTBL2","Q562R1","2",84700600,16230100,11531200,37032900,16864900,15725600,20527600,84869200,34587900,21297300,24675000,8121090,19747800,21212000,16655200,10442500,19309500,55727400,47445700,24887400,27913700,40739100,45053500,12157000,15468100,21638500,26045900,22365100,45018900,32117100,34091800,106189000,41554300,26339000,79988600,2677060,23518700,58307500,34482600,10238800,33282600,12157600,65395000,49581400,65025800,51004100,137154000,19584500,178993000,23270400,28174000,43289000,17783900,18568800,70026700,22394800,29169100,38993800,27632400,43767300,63494900,74099900,32651000,45114200,"-"
"ACTC1","P68032","2",1166520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7853940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23184100,4384950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26869800,10586000,3537280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-"
"ACTL6A","O96019","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11767.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-"
"ACTN1","P12814","7",139406000,2271760,30580900,51443100,2047300,6251900,11087400,17350200,6240590,6607090,6217720,1484210,21357500,19274800,2238850,8567650,14788500,17346800,39596900,59495800,7557470,26664600,17191900,12216600,1673620,4253620,94553300,3024460,9213930,8915630,69563600,161870000,7915880,69586500,279295000,16572000,34301200,12302700,42202100,74294400,54213200,93450500,20887500,11874600,86311800,99029300,47045800,1927980,82264600,2341720,52857100,110624000,17348900,4329840,147880000,53776100,21970400,11794300,21954200,17961400,106637000,9484280,75667000,11396500,"-"
"ACTN2","P35609","51",308564000,5148680,72108600,102639000,4227940,11787600,26079300,31272000,14935700,13986100,12848300,2291600,33353400,39642300,5981620,21085400,34048300,35436200,97059500,115681000,15271400,56584100,38051300,23631100,4844220,14405800,173252000,7995040,22422400,17275100,129066000,210296000,17796600,113229000,1292700000,43831300,172877000,34748600,106409000,131086000,102503000,178024000,51378200,15485200,122513000,142476000,77553300,2939090,108304000,4347030,99588900,505607000,91851200,32820100,268688000,110975000,43898300,20855400,34418100,39628900,169602000,12380300,132275000,17815700,"-"
"ACTN3","Q08043","31",93998700,748185,16935000,47756800,4281030,6208960,8127250,35335800,1923230,NA,10338000,2140530,17420600,7374660,NA,2316790,4832100,3082930,10353300,40366100,NA,12370100,8835410,10857900,950187,NA,90161300,NA,5666890,1590030,78001100,283003000,7644670,23625100,NA,16483400,23433400,31403700,25421400,63223800,21565500,79327900,NA,8307110,94607000,69576300,27877300,2625590,128396000,711052,24857800,NA,35951300,5586340,240608000,44885500,28289800,5525060,21818000,NA,43438300,8045600,49488500,8747230,"-"
"ACTN4","O43707","27",141963000,5988840,28569000,55426300,3910020,8432650,10837900,17634100,7850570,8553150,7334900,2502310,20183600,19957000,8767820,10568800,16303300,24776000,35695800,51994200,8099610,27107100,17401900,11652200,8201920,9991720,85367200,7608940,14585300,10353800,75678400,162614000,8852620,55126400,417341000,29312300,68204800,22241500,49950900,73371700,54563400,107864000,25616200,8756850,79949000,76476400,48145400,6164820,72644900,1649250,46229500,142781000,47021900,20677600,160003000,63347800,29457200,12247200,20558100,21455400,90180100,7073110,75439000,10442700,"-"
"ACTR10","Q9NZ32","2",NA,136231,NA,NA,NA,116736,NA,NA,123210,171224,164234,NA,NA,175868,179656,NA,NA,NA,89230,111936,NA,315629,NA,109396,198413,NA,NA,97629,145230,192798,NA,NA,105159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143188,NA,181009,130246,NA,NA,110551,NA,165625,NA,83009.1,NA,105275,NA,162612,NA,NA,"-"
"ACTR1A","P61163","11",3747920,4622220,3325440,5263160,4879300,4700970,3520360,4775770,4570030,5133370,4537720,2232710,4988970,4751070,4844160,4652840,4373310,5408460,4680830,4487180,3982120,5863940,4376940,4645320,4120100,4093480,5074620,5417090,5048330,5298730,4371100,4856760,4952070,4710180,3524390,4489960,4042210,4034260,4522870,5702410,5264530,3630130,5180180,4502250,5006180,5180050,3796080,4271110,4851410,5906990,5529380,3913500,6327030,6613780,3063860,5153640,5660590,5263800,6868250,6280760,4446300,5006510,4925050,5980540,"-"
"ACTR2","P61160","5",528001,496374,582207,780102,629366,719906,512489,524761,509174,649898,695288,491391,518082,551448,740142,698436,658557,838153,668347,791911,715103,1080510,518859,548535,614651,726380,605629,610768,618091,738056,460780,268889,669397,434221,405305,352129,315247,468494,531839,584228,543387,338146,488336,405362,539563,536004,576668,719274,506340,565772,726870,632475,624807,587623,363926,468589,395998,706501,726209,545423,490174,702180,637710,710365,"-"
"ACTR3","P61158","6",689497,593872,661370,903899,481852,803122,558399,799304,675423,617785,622624,564895,569672,636585,756842,756322,707281,830143,738552,763476,744025,1105650,748342,762226,684342,608681,747816,651948,632628,688424,551807,622421,690997,481182,NA,380711,334171,432907,580621,640068,550313,541140,597921,563262,545429,574298,471216,789239,520638,536169,667137,224612,498245,598415,416961,593575,610671,704257,730798,632603,559148,620436,653650,701494,"-"
"ACY1","Q03154","12",1826110,1348840,2104700,3231160,2575590,2221330,1149570,1067370,1424340,1606900,2100730,2255120,1469530,1413690,2183460,2514830,2168540,2410140,2451350,3028740,2335680,1694220,1932840,1474890,1755090,2454680,1937730,1417000,1363590,1836890,1948240,1438380,1638550,1346640,2081080,1395800,1418220,3003260,2068140,2384540,1057330,1787820,2012440,1974320,1464240,1302550,1623300,2168220,2159880,1768840,2453730,1895830,2276590,2079570,1921860,2972080,1714010,1965360,1927090,2950430,1819260,1545050,2042640,1627160,"-"
"ACYP2","P14621","9",75923000,31806200,29074800,37136700,37501100,34917900,34693500,43567100,37767300,37981200,36745700,44598100,30885400,31639700,39307900,35541800,52989700,37639200,31051100,39399100,32464300,34592100,37242200,51421800,45610600,44210400,27302400,31466900,45230800,44237400,34238500,53658900,35817000,39543300,31832100,42745000,45424400,52221700,47157300,52454900,42066500,47106500,43467600,44558600,30850700,49679100,32497400,29082800,55949300,38908100,42114300,37682800,54488600,44346500,36113400,53358200,50017800,39432900,45050300,44454600,51653100,32827400,52491700,38798100,"-"
"ADD1","P35611","3",162413,128549,155905,NA,130504,232306,238614,NA,203047,164456,139227,161021,44393.9,192856,120341,118266,156426,124660,154662,208944,177315,171112,234360,237658,122536,NA,138842,188398,144447,148322,NA,127371,NA,NA,NA,NA,37277.8,NA,NA,NA,NA,NA,146504,NA,NA,NA,NA,154210,NA,166406,175405,70941.3,56765.8,73755.8,NA,NA,140307,187862,186282,200522,NA,134586,152670,141887,"-"
"ADD3","Q9UEY8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37394.6,38306.4,NA,NA,24044.2,NA,NA,54339.2,NA,NA,NA,NA,NA,40870.9,NA,9359.91,NA,NA,49377.3,48793.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72701.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20251.2,NA,NA,"-"
"ADH1B","P00325","18",5685780,4469860,6291220,2482970,11937600,2217570,4658480,4753260,3730250,3344100,2630270,5329120,5640840,6182340,1242470,3954930,4142680,2261770,5428610,2027490,2468670,1156340,2685220,3116580,1554640,2109630,4843870,2800950,3671720,2187410,4136170,2968000,3122180,8625260,1677000,4682460,8056840,2667340,2050110,2148910,1122130,1553050,2557500,1779240,4347220,3479420,1515100,3576660,NA,3087570,930613,3622890,2862610,2727720,1340220,1459810,5266810,285001,883405,1774780,1491990,1858490,2698300,652890,"-"
"ADH5","P11766","11",21687100,15402900,17643000,16408000,18917300,15756800,21844900,16026700,12212200,14863000,16827200,22363900,19225700,12188300,12962000,11365700,15412300,14304100,18266400,14937500,12652000,15690900,21335500,14326100,11381600,14257400,17418200,15775800,14424100,10950100,13592000,18969700,15662600,25123100,12298100,18075400,24346300,13946100,15307400,15904300,11375400,11967100,17872100,14445700,19317500,20259900,14582300,11907200,14731300,13509000,15777500,17544200,28518500,22817400,12491100,13965300,19721500,10417700,12652700,16681900,14942200,12833400,16000500,12566000,"-"
"ADHFE1","Q8IWW8","11",1244050,4366240,2280230,4918200,1755930,4215690,1929340,2008350,4682830,2448780,2579400,3388590,1302020,1995850,4200480,3042930,801207,5934160,1796270,4487960,1971610,2754790,3893390,2428670,5087400,3713560,1970410,2382530,1703900,1738340,1740580,NA,3642370,2241460,2373560,4050890,2893150,2580470,1469900,2013650,1357850,5241490,2555480,1509910,1023940,1431030,1305190,2318660,1640290,1671830,3889310,2208320,3359350,2297000,NA,1432420,1728110,1926970,3642950,2562920,1709570,NA,1603900,1181490,"-"
"ADI1","Q9BV57","4",NA,650789,672836,NA,520662,NA,NA,NA,241190,823373,552513,816303,662775,394598,922355,NA,NA,973002,764096,NA,498045,544549,NA,NA,392560,540512,550266,1613400,NA,508086,NA,NA,NA,578783,NA,417534,877535,NA,554312,NA,626130,NA,814650,NA,NA,NA,NA,NA,NA,1106080,NA,NA,NA,1272870,NA,NA,648803,519894,NA,557951,NA,NA,NA,675051,"-"
"ADIPOQ","Q15848","2",2954830,3806830,2912560,5477600,4249090,4049000,3336390,4656950,2458580,4667160,3973170,3270770,4309990,3723880,4256510,2809270,4414990,4025020,2841030,3996760,4513290,3794400,3383130,4351920,2121380,4295700,2686790,4087390,2080960,2427810,2678130,3347240,4434610,3337940,NA,NA,NA,NA,3699160,3748900,2297970,2743600,3310430,1684380,2249830,2078920,4011320,3637010,4545360,3264640,3448650,NA,NA,NA,3419120,3598670,3541080,3625980,2886600,2769280,2843910,2762780,2093900,3599570,"-"
"ADIRF","Q15847","1",NA,NA,NA,NA,2129060,NA,424155,536860,NA,NA,740081,822649,561614,500581,363697,NA,1219570,375399,642023,NA,NA,NA,462501,780692,NA,NA,1096890,1131630,958734,390860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,242841,917851,NA,NA,NA,NA,724312,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-"
"ADK","P55263","6",1545090,513856,1204330,909614,953519,1024390,813401,NA,515080,1345590,863183,686555,1017500,759652,1027100,711596,1382710,810683,1383530,1274930,1128330,1229160,1243530,865103,833636,1517180,1172250,962508,1057100,1280310,575266,760725,940727,NA,NA,NA,NA,984675,738420,717479,637227,1563110,1100120,1248400,1034990,1040920,1137470,1048510,679805,877339,756805,NA,854697,784198,1169500,711644,992825,636242,1012590,1403580,965097,1290940,1599670,1501430,"-"
"ADPRH","P54922","1",7392700,NA,NA,NA,NA,NA,NA,NA,NA,NA,5671380,NA,5543990,NA,NA,NA,NA,6100150,NA,NA,2354530,NA,NA,NA,NA,NA,NA,NA,4306230,NA,NA,9540510,NA,NA,NA,NA,NA,NA,NA,NA,NA,4917020,NA,NA,NA,NA,NA,NA,NA,NA,4191790,8565280,14053700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-"
"ADPRHL1","Q8NDY3","6",23159800,15246400,11689100,22709500,8023010,16906900,21095300,19372900,14428800,17466400,22840200,17581800,17121200,17998800,16697700,24876700,20763300,21505800,14823800,16823800,6436190,19171600,18304000,16233800,15989100,17585700,17286700,15921900,15813000,13686100,17271900,26881400,20038800,18666200,15411900,22489400,22121500,26227800,25051000,11347700,15896500,16965000,21599100,18011400,18624400,18375500,19118400,14291600,23075700,18032900,18817800,16635200,37060600,21681100,22008700,19502900,11418500,16896600,27571900,19412300,24753600,22540500,19702800,23650900,"-"
"ADPRHL2","Q9NX46","5",2453380,1754200,1459250,2113250,2696250,1704790,2146620,1657220,2100860,2321440,1927600,2383410,1691700,1651170,1313120,2028350,1969080,1526350,1765050,1875170,1739500,1845400,1568080,2267780,2089640,1927070,1702300,2715090,1699210,1993130,1101410,1845060,1270190,2003940,NA,NA,1445280,1848870,1131160,2189600,2032870,2422420,1801580,NA,2151070,2379990,1546900,1432430,1804390,1627630,1904720,660586,2241530,2131520,1388880,899876,2035160,1547050,2137910,1761560,NA,1906860,2201180,1493520,"-"
"ADRM1","Q16186","1",269283,298742,240758,265390,481409,269307,327321,254488,298993,392192,234376,165398,296673,233365,282145,206767,204944,302551,284630,285680,244952,268075,229338,316561,257792,258189,214395,270750,305808,323435,307327,331222,324784,302622,NA,445898,188476,112435,281333,239919,394721,294792,343266,272055,210635,239192,347858,241244,248950,304558,244882,NA,NA,NA,247304,233711,342203,268364,379788,285080,307921,221342,324387,391085,"-"
"ADSL","P30566","14",10589000,7603160,8373790,8176860,8491990,7022050,11286200,10824900,7934460,8348340,8571220,9849280,13925400,7699690,7816660,8331610,9910690,6648090,9269640,8362430,6586530,4843520,10477300,10163400,7050710,6456700,11951700,10641500,8904250,7222380,11328200,12189600,8316310,15036200,7461780,10710700,14237900,15477900,9218500,10458500,10470500,11540700,9031430,9704030,10287900,11405200,13229500,9118080,12353900,6812660,9654440,7857950,7699630,9629230,9646220,10612000,14336400,10215100,10162400,9572320,12340300,8756630,11273500,8441770,"-"
"ADSS1","Q8N142","19",47592500,39222700,42526800,42919700,32372100,36478300,37510000,47355200,35327800,38952500,37508900,43910100,48721900,34405700,41721200,39163100,41607500,40122900,49018400,35610200,33798700,26883800,51520800,38698500,42244700,46348800,52244500,47325900,40813700,29528600,37186300,44012900,35768000,44547900,25993800,35867300,41971000,39024900,41617300,42317600,27866400,37080500,34496500,27889300,33517800,34991900,37511800,33403500,43145300,19561900,35870500,26811100,25283200,24358700,37327300,43192000,42761800,34120600,30028400,35031700,27028100,31786300,38615900,29625600,"-"
"ADSS2","P30520","4",6322570,4271550,4912710,3342310,4239370,3548020,3548700,4537950,2866710,3644710,5496720,5593650,5222810,2886910,4265240,3987100,7048170,3548100,5999580,4026930,3412570,2637820,5568050,5130150,3559310,3965580,6403370,5447010,3984170,3119970,6237570,6717990,3257970,7831120,NA,NA,2551250,NA,4429260,4077560,3273990,7332960,3935780,3547300,4669640,5639050,5982240,4462860,7454230,2032900,3436370,NA,NA,NA,7287560,4965500,6481010,4293440,3881220,4130130,3611000,5905620,4215740,3270560,"-"
"AFG3L2","Q9Y4W6","18",3815100,5525440,5508310,8433210,4806790,7057610,3486070,5245750,5213280,5638740,6301360,4962830,4212830,6177600,6234090,8932260,3819880,6721200,6422130,6784940,5556790,4947890,6310920,6429410,6608300,7256250,5605750,3964570,4805890,5636430,5681170,3722790,5669500,5482830,6111290,4340460,4710620,7854700,5030080,5522760,4085260,5263190,4788000,4889340,5531670,4183480,4912110,5446110,4264840,5138270,6699460,7579430,5568760,5922720,5094900,6074940,4916580,4814160,4511420,5083620,4886030,4671100,4685390,3555150,"-"
"AFM","P43652","7",360603,252116,296651,405644,305003,423151,394924,489962,421044,531269,248020,391571,182982,407673,396046,299470,470386,251670,197131,489392,205407,344784,393014,413569,293286,516438,277854,831066,241886,423023,215239,NA,423600,466262,NA,NA,266531,NA,NA,257031,NA,249154,NA,NA,NA,257022,NA,285769,NA,491521,302592,307466,NA,276351,274013,231602,NA,204872,NA,273044,NA,251012,514919,NA,"-"
"AGK","Q53H12","3",NA,NA,139141,NA,75158.2,NA,NA,NA,138859,146686,257303,163148,NA,NA,214359,243691,137852,NA,217521,261554,219724,NA,189459,169989,175626,221330,142742,187270,NA,149905,NA,NA,243797,NA,NA,NA,NA,NA,171594,157032,NA,NA,96692.1,NA,161518,NA,178696,195982,NA,189233,207334,NA,NA,NA,NA,194115,134426,136689,195904,158084,NA,NA,NA,179292,"-"
"AGL","P35573","82",47817400,53435700,62748800,75647700,54235600,64388200,67829300,69004600,44833300,64414800,51669700,44664300,86255400,46864400,61187000,51473600,40887000,56033300,68918800,73988200,54398000,43576300,71922000,53662400,49698500,60436600,72251700,70462000,78361100,57689800,71593400,109425000,74649900,62677000,114837000,78765400,71915300,88284600,85474800,76650800,68038100,59692200,57223400,69322600,66758000,56682600,74267600,57402100,83767300,48924700,72893500,87300500,99218600,56297300,76136700,81347200,77160300,58146800,85662100,58770400,79900800,59470800,61632700,58086800,"-"
"AGMAT","Q9BSE5","3",2450370,1266150,3739380,2235950,1250300,1442110,2512320,2220890,2131380,1080710,1867920,2604240,4383770,1665610,1178400,2099390,5114470,1318720,4067800,1058310,2280750,1025530,3096540,1334720,3771180,1302740,6010090,2884280,1555500,712203,NA,1988460,1449660,NA,NA,344311,NA,1760780,3756000,3021200,NA,1789670,NA,NA,NA,2595780,NA,965559,2446590,1074090,1616980,2711460,NA,NA,3149200,3433590,2595120,NA,2142150,923974,NA,NA,2826430,NA,"-"
"AGO2","Q9UKV8","7",219634,306257,124185,158762,186254,274882,155496,342381,257335,276820,231808,104544,289434,290627,241223,249707,158531,292273,177226,NA,220988,228040,266349,225660,223826,258626,242888,366736,262463,187272,162400,145732,189768,154876,NA,103021,134508,NA,222850,150864,282196,138273,220212,NA,307382,181564,141966,128299,NA,137956,139482,NA,NA,218450,213434,227894,156263,187772,156838,106953,240510,185115,150330,160940,"-"
"AGO3","Q9H9G7","1",NA,NA,NA,NA,NA,NA,NA,NA,136519,118495,NA,NA,106389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93425.1,NA,NA,112257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105718,86336,NA,NA,NA,NA,NA,NA,NA,70813.3,NA,111559,NA,NA,NA,84039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-"
"AGPAT1","Q99943","1",NA,NA,29866.8,NA,NA,32880.1,NA,NA,17898.6,NA,20032.3,22534.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33209.6,NA,22667.2,17371.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24338.6,38565,NA,NA,NA,NA,NA,NA,27118.5,NA,NA,NA,NA,NA,NA,"-"
"AGPS","O00116","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240284,NA,NA,NA,NA,NA,NA,"-"
"AGT","P01019","2",693205,615647,653884,564956,424063,775423,451855,826120,818161,720932,554760,1275600,714911,832253,732081,632486,846172,504055,525109,746574,438741,420330,692835,837067,615500,1030840,763942,870519,473826,NA,649974,NA,591332,660188,NA,NA,NA,NA,443164,454865,426945,675331,616247,624081,647470,540390,342822,633485,460157,719621,544537,NA,NA,NA,737595,514847,520938,NA,492930,567207,NA,495132,746160,NA,"-"
"AHCY","P23526","15",15363100,10987300,13937200,12747400,14570300,11281700,13213800,11130700,10604700,15321000,12966600,13898300,12862200,10479200,10215700,13281900,13838900,12446000,12534500,12700900,10205800,12615000,10933100,10505500,11014800,12485100,12914200,10700800,9899800,11310900,11964100,14731900,11197400,14919400,10499800,11151800,15706200,11883200,13938800,13376600,13057600,10464500,13335600,11495500,11996000,13802400,10685300,10838000,11415600,12149000,12603700,14354300,17357000,16996900,9002640,12429100,13644300,12583400,16454200,13100800,17465100,13489800,15696900,13216300,"-"
"AHCYL1","O43865","6",526785,761198,894865,1018620,938294,826945,845886,495590,655686,668999,916862,872770,689901,559364,683342,822906,977157,856486,907118,962270,888190,868339,618808,825605,737533,653633,909890,768713,786375,960981,488645,748127,1007840,674834,561339,544826,682282,981611,431244,881178,599821,594662,636926,323015,733318,913272,971832,943151,722797,1012030,902618,657779,1142730,977900,623624,675211,703333,870468,1016420,896810,830932,954422,713969,1029200,"-"
"AHCYL2","Q96HN2","5",491550,576884,521159,488689,556932,586016,357645,NA,446995,461165,528352,451625,596745,521254,456929,554398,480466,533024,730754,609989,469177,640523,478506,459297,410089,494621,612783,476435,580862,609207,432435,351632,556396,353450,NA,NA,381411,356884,469595,479358,525588,506590,466058,NA,485198,617226,692014,581603,NA,555945,654076,606137,NA,464140,324634,483375,468258,515760,698692,481588,491781,564777,713477,757684,"-"
"AHNAK","Q09666","156",35977900,30374300,27094000,29139500,31554500,26558200,22575000,31043500,29882400,28473000,27659700,20283800,29653700,24951400,26245900,23049400,27033200,35883200,27934200,25636700,23595000,39956100,25226000,25280700,25250100,23971600,26575100,24592400,33058100,23443900,26595600,37411000,32905600,45683700,241631000,49412900,80704800,63036400,31399300,30495200,25112600,26169600,28448000,26807200,31520000,27932400,20322300,34117600,29690500,38250700,32033900,118878000,94314100,83534900,25203900,26641800,30741600,27417700,39202700,27910600,31728200,27155700,25617100,34831700,"-"
"AHSA1","O95433","7",501745,645472,619554,607979,532864,790127,724150,543452,676139,511639,629093,634135,656400,759796,561392,718649,516864,576584,667929,476900,727769,992836,720827,785096,659309,612054,525518,495086,760646,758569,NA,580787,601838,353575,545549,421386,362893,NA,577376,453889,604708,478743,592412,NA,550060,529548,366283,773989,506054,981458,570873,NA,519447,440348,NA,556501,535563,553069,531549,630258,473934,578966,676127,429217,"-"
